,Brand,Model,Version,Location,Fuel_Type,Transmission,Owner_Type,Year,Kilometers_Driven,Power,Seats,Predicted Price
0,Maruti,Alto,K10 LXI CNG,Delhi,CNG,Manual,First,2014,40929,58.2,4.0,3.1240566037735866
1,Maruti,Alto,800 2016-2019 LXI,Coimbatore,Petrol,Manual,Second,2013,54493,47.3,5.0,2.9496226415094333
2,Toyota,Innova,Crysta Touring Sport 2.4 MT,Mumbai,Diesel,Manual,First,2017,34000,147.8,7.0,17.538867924528304
4,Hyundai,i20,Magna,Mumbai,Petrol,Manual,First,2014,29000,82.85,5.0,4.59122641509434
5,Mahindra,XUV500,W8 2WD,Coimbatore,Diesel,Manual,Second,2016,85609,140.0,7.0,15.899905660377362
6,Toyota,Fortuner,4x2 AT TRD Sportivo,Pune,Diesel,Automatic,First,2015,59000,168.7,7.0,24.649622641509435
7,Hyundai,EON,Era Plus,Jaipur,Petrol,Manual,First,2013,65000,55.2,5.0,2.228584905660378
8,Honda,City,1.5 S MT,Mumbai,Petrol,Manual,Second,2011,66000,118.0,5.0,3.837735849056603
9,Mahindra,XUV500,W6 2WD,Coimbatore,Diesel,Manual,First,2015,54684,140.0,7.0,13.509245283018872
10,Audi,Q5,2008-2012 2.0 TDI,Mumbai,Diesel,Automatic,Second,2012,78000,167.6,5.0,17.538584905660382
11,Hyundai,Grand,i10 Magna,Jaipur,Petrol,Manual,First,2016,21000,82.0,5.0,4.909056603773586
12,Toyota,Corolla,H5,Chennai,Petrol,Manual,Third,2007,90000,125.0,5.0,2.7852830188679243
13,Maruti,Swift,Vdi BSIII,Coimbatore,Diesel,Manual,First,2008,87628,75.0,5.0,2.748018867924529
14,Nissan,Terrano,XL,Mumbai,Petrol,Manual,First,2014,45000,102.5,5.0,5.056037735849058
15,BMW,X1,sDrive20d,Coimbatore,Diesel,Automatic,First,2013,30788,184.0,5.0,23.513679245283022
16,BMW,3,Series GT 320d Luxury Line,Hyderabad,Diesel,Automatic,First,2015,39524,184.0,5.0,27.224905660377356
17,Ford,Ikon,1.4 TDCi DuraTorq,Chennai,Diesel,Manual,First,2009,140000,68.0,5.0,2.2833962264150944
18,Maruti,Swift,AMT ZXI,Kochi,Petrol,Automatic,First,2019,15409,81.8,5.0,6.690849056603776
19,Maruti,Swift,Dzire VXi,Jaipur,Petrol,Manual,First,2015,36502,85.8,5.0,4.780283018867924
20,Maruti,Ritz,LDi,Pune,Diesel,Manual,First,2016,200000,73.94,5.0,4.226981132075473
21,Nissan,Micra,XV,Delhi,Petrol,Manual,First,2010,70000,75.0,5.0,2.25688679245283
22,Maruti,Alto,800 2016-2019 LXI,Kochi,Petrol,Manual,First,2017,36701,47.3,5.0,3.503584905660377
24,Honda,Civic,2010-2013 1.8 S MT Inspire,Bangalore,Petrol,Manual,Second,2011,40000,132.0,5.0,5.252924528301884
25,Ford,Ikon,1.3 Flair,Pune,Petrol,Manual,Second,2005,47000,70.0,5.0,1.0815094339622635
26,Maruti,Alto,LX,Pune,Petrol,Manual,Second,2006,93500,46.3,5.0,1.184716981132075
27,Honda,Jazz,1.5 V i DTEC,Pune,Diesel,Manual,First,2015,52000,98.6,5.0,5.853584905660378
28,Skoda,Rapid,1.5 TDI AT Ambition,Delhi,Diesel,Automatic,Second,2015,55429,103.52,5.0,6.193301886792454
29,Hyundai,i20,1.2 Sportz,Mumbai,Petrol,Manual,Second,2011,133000,80.0,5.0,3.2190566037735837
